product_name,product_sku,virtuemart_product_id,category_name,picture_url,product_discount,product_in_stock,product_price,product_sales,salesprice,taxamount,,
Elastic Strap Small - BP,6US110S,508,Straps,/images/stories/virtuemart/product/6US110S.jpg,,,105,,105,0,,
Elastic Strap Large - BP,6US110L,509,,/images/stories/virtuemart/product/6US110S.jpg,,,110,,110,0,,
Elastic Strap Extra Large - BP,6US110XL,510,,/images/stories/virtuemart/product/6US110S.jpg,,,122,,122,0,,
24'' CR20 - Cross Spokes,4WH148,1526,24'' (540),/images/stories/virtuemart/product/4WH148.jpg,,,195,,195,0,,
25'' CR20 - Cross Spokes,4WH150,1527,25'' (559),/images/stories/virtuemart/product/4WH148.jpg,,,0,,195,0,,
26'' CR20 - Cross Spokes,4WH152,1528,26'' (590),/images/stories/virtuemart/product/4WH148.jpg,,,0,,195,0,,
28'' CR20 - Cross Spokes,4WH154,1529,28'' (622),/images/stories/virtuemart/product/4WH148.jpg,,,0,,195,0,,
24'' CR20 Black 36S-3X,4WH155,1531,24'' (540),/images/stories/virtuemart/product/4WH155.jpg,,,325,,325,0,,
25'' CR20 Black 36S-3X,4WH156,1532,25'' (559),/images/stories/virtuemart/product/4WH155.jpg,,,0,,325,0,,
26'' CR20 Black 36S-3X,4WH157,1533,26'' (590),/images/stories/virtuemart/product/4WH155.jpg,,,0,,325,0,,
Inner Tube 6x1 1/4 Schrader valve,2TB010,1554,Tubes,/images/stories/virtuemart/product/noimage.gif,,,11,,11,0,,
Inner Tube 8x1 1/4 Schrader Std valve,2TB020,1555,Tubes,/images/stories/virtuemart/product/2TB020.jpg,,,11,,11,0,,
